"Subject","TimePoint","WholeHeadDice","WholeHeadVolume","Thickness","ThicknessIso","CorticalVolume","CorticalIsoVolume","CerebellarVolume","HippocampalVolume","HippocampalIsoVolume","WholeHeadVolume.1"
"NR3_F",3,0.916604108373712,520.447541361452,0.944775946488956,1.27121907287607,148.736261820495,148.942142755286,63.9787550845743,43.6725034707785,43.449755179614,520.447541361452
"NR3_F",7,0.914807698945019,510.975040608645,0.917161815489134,1.24701292913489,146.913761675656,145.975517401636,68.6700054574014,43.3012534412742,43.4463801792117,510.975040608645
"NR3_F",28,0.913141018377937,516.701291063727,0.96682754294428,1.28281558996515,150.806261985004,150.818642978982,63.3262550327183,44.6062535449863,44.7693803369256,516.701291063727
"NR3_F",56,0.927509272851556,523.406291596592,0.931222943678202,1.25080266847514,149.377511871457,149.164892781839,66.3300052714349,43.9762534949184,44.2158802709433,523.406291596592
"NR3_F",140,0.921409634945813,528.435041996241,0.942000379885714,1.2708115280147,150.592511968017,151.615143073932,62.5387549701334,46.3162536808849,46.5446305485519,528.435041996241
"NR4_F",0,0.925979306546677,498.678789631427,0.848657798658789,1.22242098648742,143.572511410117,143.005517047585,68.5912554511429,41.9400033330918,42.4845050645473,498.678789631427
"NR4_F",3,0.915149149195123,512.640040740968,0.914377000897693,1.24488198259114,143.66251141727,143.339642087416,68.1750054180623,44.8987535682321,44.8335053445699,512.640040740968
"NR4_F",7,0.927571625624675,522.033791487516,0.937976810813061,1.23754924582121,147.5887617293,146.586392474458,68.9062554761769,44.5275035387278,44.4656303007158,522.033791487516
"NR4_F",28,0.90380802625282,510.952540606857,0.845184558795684,1.15249225344904,145.068761529029,144.369017210127,70.9537556388975,42.288753360808,42.3225050452354,510.952540606857
"NR4_F",56,0.926755606017599,516.521291049422,0.852794032794139,1.1899142259924,141.333761232198,141.061516815842,70.4587555995585,44.6737535503507,44.5500053107741,516.521291049422
"NR5_M",0,0.908176799767568,463.218786813319,0.900075734853452,1.23404162130479,134.066260654628,134.379016019226,68.6475054556132,39.4200031328202,39.4301297004374,463.218786813319
"NR5_M",3,0.90112351068782,472.140037522317,0.865069619871625,1.22745407243613,133.233760588467,133.113390868352,61.8750049173833,38.8350030863286,39.2073796738835,472.140037522317
"NR5_M",7,0.927988562333931,411.772532724739,0.890406816604291,1.24371126553087,133.278760592044,133.542015919448,60.7275048261882,40.1850031936169,39.6360047249796,411.772532724739
"NR5_M",28,0.89847397572176,459.258786498607,0.891197752390974,1.25086449492661,129.476260289848,129.88351548332,64.9800051641465,41.0287532606722,40.8206298661979,459.258786498607
"NR5_M",56,0.917947493433537,469.620037322045,0.905231651316809,1.24790425589389,131.152510423064,131.962515731156,62.3925049585105,40.8937532499433,40.9218798782678,469.620037322045
"NR5_M",140,0.914919481170499,470.418787385524,0.92386192160113,1.24565564823074,133.166260583103,133.704015938759,56.6887545052172,40.4662532159687,40.3413798090668,470.418787385524
"NR6_M",0,0.925813208049342,507.611290341318,0.895414962317026,1.25905724888852,143.955011440516,145.54689235054,64.1925051015617,41.6025033062697,41.9748800037952,507.611290341318
"NR6_M",3,0.930178920883422,504.551290098132,0.901016574999716,1.24807675809904,143.30251138866,143.316017084599,62.8312549933792,40.6462532302738,41.1176299016031,504.551290098132
"NR6_M",7,0.938938085435521,463.69128685087,0.827312087889902,1.22959718581779,142.965011361838,142.597141998903,68.4562554404141,40.2862532016636,40.3650048118832,463.69128685087
"NR6_M",28,0.911812111443702,515.542540971638,0.91997465847377,1.26348934924938,143.550011408329,143.741267135293,63.5737550523878,42.9525034135581,42.7747550991478,515.542540971638
"NR6_M",56,0.925941667719665,512.808790754379,0.885104661007972,1.23225283450898,142.762511345744,143.096642058448,66.9600053215028,40.7025032347441,41.0771298967751,512.808790754379
"NR6_M",140,0.934441220632896,515.68879098326,0.927175187683196,1.26037885699688,150.356261949241,150.973892997489,62.8087549915911,42.5925033849478,43.0143801277133,515.68879098326
"NR7_M",0,0.916990968953461,471.825037497283,0.871671791080004,1.2384487278299,137.430010921955,137.983516448916,61.2787548699976,39.5662531444431,39.4031296972187,471.825037497283
